,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E610000011A62897C6145E40C467C0FD2D7B3F40,1750382202,{emg},1911415686753681409,320211,新震泽秀水坊,新震泽秀水坊,"",xin zhen ze xiu shui fang,江苏省,无锡市,滨湖区,"",,,,"",,"",,,,,11365,"{""type"":""Point"",""coordinates"":[120.324621,31.4811705202808]}"
,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E610000052C72007D6125E401EABCE14A17B3F40,1750308553,{emg},1911415686339493889,320211,中国移动无锡生产调度中心,中国移动无锡生产调度中心,"",zhong guo yi dong wu xi sheng chan diao du zhong xin,江苏省,无锡市,滨湖区,"",,,,"",,"",,,,,8944,"{""type"":""Point"",""coordinates"":[120.294313222895,31.4829266552507]}"
,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E610000044499C1BCA155E40063D64FE89793F40,1750309097,{emg},1911415686788284417,320211,华庄商业广场,华庄商业广场,"",hua zhuang shang ye guang chang,江苏省,无锡市,滨湖区,"",,,,瑞景道,,199号,,,,,8945,"{""type"":""Point"",""coordinates"":[120.340460684417,31.4747618670199]}"
,,{0510-88680888},,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E6100000833D5D0663135E40F71D2F3D167D3F40,1750382243,{emg},1911415686718029825,320211,海岸城南门,海岸城南门,"",hai an cheng nan men,江苏省,无锡市,滨湖区,"",,,,立信大道,,168号,,,,,11429,"{""type"":""Point"",""coordinates"":[120.302918997817,31.488620590213]}"
,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E61000003A68A15445115E40E726AE9C40873F40,1750065094,{emg},1911415687221346305,320211,蠡湖大厦,蠡湖大厦,"",li hu da sha,江苏省,无锡市,滨湖区,"",,,,湖滨街,,15号,,,,,19580,"{""type"":""Point"",""coordinates"":[120.269856603264,31.5283296513725]}"
,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E61000005320B4734F125E4085BF47FBA08F3F40,1750334363,{emg},1911415692128681985,320211,江南航运大厦,江南航运大厦,"",jiang nan hang yun da sha,江苏省,无锡市,滨湖区,"",,,,运河西路,,1596号,,,,,9452,"{""type"":""Point"",""coordinates"":[120.286099363236,31.561050133721]}"
,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E61000003750E09D7C115E408125B14088773F40,1750334721,{emg},1911415686210519041,320211,易明昌大厦,易明昌大厦,"",yi ming chang da sha,江苏省,无锡市,滨湖区,"",,,,栋泽路,,9号,,,,,9455,"{""type"":""Point"",""coordinates"":[120.273231,31.4669228012549]}"
,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E610000074167D3C25165E4044376BADCD7B3F40,1750220273,{emg},1911415686809255937,320211,建工大楼,建工大楼,"",jian gong da lou,江苏省,无锡市,滨湖区,"",,,,华清大道,,"",,,,,5462,"{""type"":""Point"",""coordinates"":[120.346022722393,31.4836071383245]}"
,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E61000000EF96706F1125E400554256E6A793F40,1750221430,{emg},1911415686334251009,320211,双新科技园,双新科技园,"",shuang xin ke ji yuan,江苏省,无锡市,滨湖区,"",,,,震泽路,,688号,,,,,5463,"{""type"":""Point"",""coordinates"":[120.295961,31.4742802468427]}"
,,"",,,{20200},liuxiao,add,v0.1,1555055461886,1555055461886,0101000020E6100000F9E48B02FC105E40B600FFEA09903F40,1750294383,{emg},1911415692171673601,320211,太湖大厦,太湖大厦,"",tai hu da sha,江苏省,无锡市,滨湖区,"",,,,梁溪路,,45号,,,,,7618,"{""type"":""Point"",""coordinates"":[120.265381466499,31.5626513359609]}"
